isin,face_amount,closing_price,total_cost,weighting,currency,market_value,bpdate,name,withdividendp,fund_name,spread,country,region,msci_esg_rating,nfa_star_rating,esg_country_star_rating,yield,duration,accrued_interest,emdm,nfa,esg,msci,price,trade_date,weightings,error,record_number,pvbp,convexity,accrued_dollars
XS2233188353,700000.0,96.671,703690.91,4.68,USD,676697.0,2024-09-06,QNB FINANCE LTD 1.625 22/09/2025,2.7073,Shin Kong Emerging Wealthy Nations Bond Fund,27.0216758939372,Qatar,Qatar,,7.0,5,5.01083850860596,0.979930050084916,0.379166666666664,EM,7,10,,96.671,2024-09-06,100.0,,617.0,0.0,0.0,
US279158AJ82,600000.0,73.81,406900.0,3.06,USD,442860.0,2024-09-06,ECOPETROL SA 5.875 28/05/2045,32.9542,Shin Kong Emerging Wealthy Nations Bond Fund,474.67051451598,Colombia,Colombia,,2.0,5,8.62429454750368,10.0742306619869,1.37083333333334,EM,2,5,,73.81,2024-09-06,100.0,,618.0,0.0,0.0,
US71654QDE98,200000.0,83.02,166500.0,1.15,USD,166040.0,2024-09-06,PETROLEOS MEXICA 5.95 28/01/2031,59.088,Shin Kong Emerging Wealthy Nations Bond Fund,616.543023599299,Mexico,Mexico,,3.0,6,9.62974111717903,4.84361100436298,1.38833333333332,EM,3,6,,83.02,2024-09-06,100.0,,619.0,0.0,0.0,
US71654QDF63,750000.0,67.742,592500.0,3.51,USD,508065.0,2024-09-06,PETROLEOS MEXICA 6.95 28/01/2060,45.9651,Shin Kong Emerging Wealthy Nations Bond Fund,632.351513984851,Mexico,Mexico,,3.0,6,10.4029454772472,9.44797526535392,1.62166666666668,EM,3,6,,67.742,2024-09-06,100.0,,620.0,0.0,0.0,
USP0R80BAG79,450000.0,95.375,402750.0,2.97,USD,429187.5,2024-09-06,SITIOS 5.375 04/04/2032,20.7549,Shin Kong Emerging Wealthy Nations Bond Fund,262.80526029177,Mexico,Mexico,,3.0,6,6.15338587760925,5.93822788446741,1.25416666666667,EM,3,6,,95.375,2024-09-06,100.0,,621.0,0.0,0.0,
USP30179BR86,1000000.0,91.295,843050.0,6.31,USD,912950.0,2024-09-06,COMISION FEDERAL 6.264 15/02/2052,19.9822,Shin Kong Emerging Wealthy Nations Bond Fund,296.520292890475,Mexico,Mexico,,3.0,6,6.98201663240471,12.1286646889391,1.4616,EM,3,10,,91.295,2024-09-06,100.0,,622.0,0.0,0.0,
USP3143NAH72,800000.0,106.199,872414.21,5.87,USD,849592.0,2024-09-06,CODELCO INC 6.15 24/10/2036,11.5924,Shin Kong Emerging Wealthy Nations Bond Fund,173.730481674763,Chile,Chile,,4.0,8,5.43694520818456,8.4206471823121,1.43500000000001,EM,4,8,,106.199,2024-09-06,100.0,,623.0,0.0,0.0,
USP37110AM89,500000.0,79.883,379375.0,2.76,USD,399415.0,2024-09-06,EMPRESA NACIONAL 4.5 14/09/2047,13.6953,Shin Kong Emerging Wealthy Nations Bond Fund,222.988948707553,Chile,Chile,,4.0,8,6.15503726005554,12.7885542594832,1.05,EM,4,8,,79.883,2024-09-06,100.0,,624.0,0.0,0.0,
USP37466AS18,800000.0,85.722,659199.99,4.74,USD,685776.0,2024-09-06,EMPRESA METRO 4.7 07/05/2050,5.3047,Shin Kong Emerging Wealthy Nations Bond Fund,179.207606077135,Chile,Chile,,4.0,8,5.77546353340149,13.6530789967665,1.09666666666666,EM,4,8,,85.722,2024-09-06,100.0,,625.0,0.0,0.0,
USP6629MAD40,650000.0,85.823,472730.0,3.86,USD,557849.5,2024-09-06,MEXICO CITY ARPT 5.5 31/07/2047,25.1063,Shin Kong Emerging Wealthy Nations Bond Fund,280.568483392428,Mexico,Mexico,,3.0,6,6.7283562707901,11.8224298122596,1.28333333333333,EM,3,6,,85.823,2024-09-06,100.0,,626.0,0.0,0.0,
XS0911024635,500000.0,98.535,583267.14,3.41,USD,492675.0,2024-09-06,SAUDI ELEC GLOBA 5.06 08/04/2043,8.4713,Shin Kong Emerging Wealthy Nations Bond Fund,134.171289378643,Saudi Arabia,Saudi Arabia,,7.0,8,5.18166255950928,11.7911213180276,1.18066666666667,EM,7,8,,98.535,2024-09-06,100.0,,627.0,0.0,0.0,
XS1709535097,600000.0,93.815,685655.02,3.89,USD,562890.0,2024-09-06,ABU DHABI CRUDE 4.6 02/11/2047,1.308,Shin Kong Emerging Wealthy Nations Bond Fund,115.383434555646,UAE,Abu Dhabi,,7.0,5,5.06671619415283,13.3354942886886,1.07333333333333,DM,7,5,,93.815,2024-09-06,100.0,,628.0,0.0,0.0,
XS1807299331,1000000.0,98.151,882500.0,6.78,USD,981510.0,2024-09-06,KAZMUNAYGAS NAT 6.375 24/10/2048,18.845,Shin Kong Emerging Wealthy Nations Bond Fund,257.775215389973,Kazakhstan,Kazakhstan,,3.0,5,6.5259384393692,11.8720036953122,1.4875,EM,3,5,,98.151,2024-09-06,100.0,,629.0,0.0,0.0,
